"name","prompt","negative_prompt","description","category"
"BASE_Anti_3D","","3d, 3dcg, cgi, render, octane render, physically based rendering, ray tracing, subsurface scattering, specular highlights, depth of field blur, high poly, realistic, photorealistic, photography, live action","Negative-only preset. Blocks 3D/CGI render artifacts. Stack alongside quality BASE when 3D artifacts persist. Combos: any quality BASE. Conflicts: BASE_Style_3D.","BASE"
"BASE_Enhance","(highly detailed:1.3), (intricate details:1.2), (sharp focus:1.2), (fine texture:1.2), (masterful rendering:1.1), complex detail, crisp edges","blurry, soft focus, simple, plain, low detail, sketch","Detail booster. Stack on top of any quality BASE. Adds sharpness, texture complexity, fine rendering. Reduce weight to 0.9 if over-sharpening.","BASE"
"BASE_Format_Album_Cover","album cover composition, square format, centered subject, album art aesthetic, music cover art, bold composition, graphic album design","landscape, random crop, text-heavy","Album cover square composition. Combos: PALETTE styles; STYLE_Modern_Glossy; LIGHTING_Studio_Three_Point. Good for profile images.","BASE"
"BASE_Format_Character_Sheet","character sheet, character design turnaround, front and side view, multiple angles, reference sheet, character reference, design sheet, neutral pose clean background","single angle, dramatic lighting, background scene","Character design reference sheet. Combos: STYLE_Concept_Art; BASE styles. Essential for LoRA dataset prep and character consistency.","BASE"
"BASE_Format_Poster_Vertical","movie poster composition, (portrait poster format:1.2), dramatic poster layout, hero shot poster, title space at top, centered subject, poster framing","wide landscape, random composition","Movie poster framing. Combos: LIGHTING_Dramatic_Shadow; STYLE_Concept_Art; COMPOSITION_Symmetry. Good for social media vertical.","BASE"
"BASE_Illustrious_Quality","masterpiece, best quality, very aesthetic, absurdres, newest, (detailed:1.2), (intricate:1.1)","lowres, (bad anatomy:1.3), (bad hands:1.4), (mutated hands:1.4), (extra fingers:1.5), (fused fingers:1.5), (missing fingers:1.5), text, error, cropped, worst quality, low quality, jpeg artifacts, signature, watermark, blurry, (extra limbs:1.5), (malformed limbs:1.4), (mutation:1.4), (deformed:1.4), nsfw, explicit, nude, naked","Illustrious XL. CFG 6; Euler a; Clip Skip 1-2. Excels at soft aesthetics; expressive eyes; multi-character. Conflicts: do not mix with Pony or NoobAI base.","BASE"
"BASE_NoobAI_Quality","very awa, year 2024, year 2025, newest, source_anime, absurdres, (high resolution:1.1), (intricate details:1.1)","worst aesthetic, bad aesthetic, lowres, year 2020, year 2021, year 2022, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (fused fingers:1.5), (extra limbs:1.5), (malformed limbs:1.4), (bad proportions:1.3), (deformed:1.4), blurry, jpeg artifacts, text, watermark, nsfw, explicit, nude, naked","NoobAI XL V-Pred. CFG 1.5-3.0; Rescale CFG 0.7; Euler (NOT Euler a); SGM Uniform; Clip Skip 1. Excels at skin; lighting; action game renders. Conflicts: do not mix with Pony or Illustrious base.","BASE"
"BASE_PonyV6_Quality","score_9, score_8_up, score_7_up, source_anime, (masterpiece:1.2), (best quality:1.2), absurdres","score_4, score_5, score_6, source_cartoon, source_pony, source_furry, 3d, realistic, photorealistic, (bad anatomy:1.3), (bad hands:1.4), (mutated hands:1.4), (extra fingers:1.5), (fused fingers:1.5), (missing fingers:1.5), (extra limbs:1.5), (missing limbs:1.4), (malformed limbs:1.4), (bad proportions:1.3), (mutation:1.4), (deformed:1.4), blurry, jpeg artifacts, text, watermark, nsfw, explicit, nude, naked","Pony Diffusion V6. CFG 7; DPM++ 2M Karras; Clip Skip 2. Combos: any. Conflicts: do not mix with Illustrious or NoobAI base.","BASE"
"BASE_Style_3D","(3d:1.3), (3dcg:1.2), (cgi:1.2), octane render, physically based rendering, (ray tracing:1.1), subsurface scattering, (realistic lighting:1.2), high poly","flat shading, 2d, anime style, cel shading, lineart, sketch, manga, cartoon, hand drawn","Pushes toward 3D CGI render aesthetic. Use as quality BASE replacement — conflicts with 3d blockers in standard quality BASEs. Stack at (3d:1.0) for blended anime-3D. Best on Illustrious. Conflicts: BASE_Anti_3D.","BASE"
"ACCESSORY_Bag","(bag:1.2), handbag, shoulder bag, school bag, backpack, stylish purse","no bag","Bag prop. Combos: OUTFIT_Casual; OUTFIT_School_Uniform; OUTFIT_Business_Suit. Adds realism.","ACCESSORY"
"ACCESSORY_Body_Piercings","(piercings:1.2), ear piercings, multiple ear piercings, nose ring, industrial piercing, helix piercing, body jewelry, studs and rings","plain ears, no jewelry","Piercings/body jewelry. Combos: OUTFIT_Streetwear; HAIR_Undercut; MOOD_Confident. Adds edge to any archetype.","ACCESSORY"
"ACCESSORY_Crown","(crown:1.3), (royal crown:1.2), jeweled crown, crown on head, monarch crown, ornate crown","no headwear, plain head, hat","Crown / royal headpiece. Combos: ARCHETYPE_Demon_Queen; RACE_Elf_Female; STYLE_Dark_Fantasy; SCENE_Fantasy_Dungeon.","ACCESSORY"
"ACCESSORY_Crown_Tiara","(crown:1.3), tiara, royal crown, golden crown, jeweled tiara, diadem, princess crown","commoner, no headpiece","Royal crown. Combos: ARCHETYPE_Demon_Queen; OUTFIT_Evening_Dress; MOOD_Elegant. Universal BODY.","ACCESSORY"
